coin_id,first_date
rasta-finance,2021-05-19T00:00:00+00:00
porkchop,2020-08-19T00:00:00+00:00
anchor,2019-11-12T00:00:00+00:00
axis-defi,2020-08-21T00:00:00+00:00
mad-bull-token,2021-05-17T00:00:00+00:00
cybereits,2018-05-24T00:00:00+00:00
ardcoin,2019-09-03T00:00:00+00:00
weather-finance,2021-03-02T00:00:00+00:00
bitsou,2019-05-15T00:00:00+00:00
ether-1,2018-08-01T00:00:00+00:00
dai,2019-11-19T00:00:00+00:00
orlycoin,2018-03-24T00:00:00+00:00
sombe,2019-07-11T00:00:00+00:00
3x-short-eos-token,2019-12-18T00:00:00+00:00
basiscoin-share,2020-12-31T00:00:00+00:00
bitcoin-bep2,2019-06-19T00:00:00+00:00
blockchain-of-hash-power,2019-01-26T00:00:00+00:00
invox-finance,2020-07-08T00:00:00+00:00
premia,2021-02-15T00:00:00+00:00
super-algorithmic-token,2021-04-26T00:00:00+00:00
dcoin-token,2019-07-02T00:00:00+00:00
universal-currency,2017-12-08T00:00:00+00:00
elastic-dao,2021-03-20T00:00:00+00:00
pigx,2019-07-25T00:00:00+00:00
aave-snx-v1,2020-06-25T00:00:00+00:00
cyberfm,2018-08-16T00:00:00+00:00
harmony,2019-06-02T00:00:00+00:00
wxcoin,2018-10-21T00:00:00+00:00
mytracknet-token,2019-06-21T00:00:00+00:00
kin,2017-10-22T00:00:00+00:00
pluto,2020-12-12T00:00:00+00:00
zuz-protocol,2021-03-19T00:00:00+00:00
zinc,2018-08-01T00:00:00+00:00
papel,2021-04-24T00:00:00+00:00
amazonacoin,2020-07-14T00:00:00+00:00
chesscoin,2018-01-24T00:00:00+00:00
defibox,2020-09-08T00:00:00+00:00
chubbyakita,2021-05-17T00:00:00+00:00
titan-coin,2019-04-27T00:00:00+00:00
aave-ren-v1,2020-09-15T00:00:00+00:00
peony-coin,2018-06-13T00:00:00+00:00
spaghetti,2020-08-19T00:00:00+00:00
nydronia,2021-01-22T00:00:00+00:00
qawalla-token,2021-05-05T00:00:00+00:00
spider-ecology,2019-12-05T00:00:00+00:00
pryz,2021-05-10T00:00:00+00:00
earth-token,2021-02-22T00:00:00+00:00
chestercoin,2021-04-30T00:00:00+00:00
chainx,2019-08-01T00:00:00+00:00
mirrored-twitter,2021-01-13T00:00:00+00:00
asac-coin,2020-02-28T00:00:00+00:00
tokenclub,2018-02-15T00:00:00+00:00
the-vault,2021-04-30T00:00:00+00:00
blue-whale,2018-08-02T00:00:00+00:00
matrexcoin,2018-10-31T00:00:00+00:00
yield-protocol,2021-03-06T00:00:00+00:00
vice-network,2020-02-12T00:00:00+00:00
dmtc-token,2019-11-06T00:00:00+00:00
coinbase-stock-bittrex,2021-04-20T00:00:00+00:00
bitboost,2017-12-28T00:00:00+00:00
idle-susd-yield,2020-08-01T00:00:00+00:00
mochimo,2019-04-24T00:00:00+00:00
stake-coin-2,2021-01-13T00:00:00+00:00
medibit,2018-11-06T00:00:00+00:00
simba-storage-token,2020-07-30T00:00:00+00:00
based-money,2020-08-13T00:00:00+00:00
msn,2019-10-02T00:00:00+00:00
whole-network,2019-09-17T00:00:00+00:00
bankroll-extended-token,2020-11-06T00:00:00+00:00
saito,2021-04-22T00:00:00+00:00
tune-token,2019-08-31T00:00:00+00:00
metacoin,2019-06-05T00:00:00+00:00
bela,2021-05-17T00:00:00+00:00
tbc-mart-token,2019-11-22T00:00:00+00:00
apenft,2021-05-21T10:45:54+00:00
airswap,2017-10-22T00:00:00+00:00
orchid-protocol,2019-12-18T00:00:00+00:00
coin4trade,2020-08-07T00:00:00+00:00
certurium,2020-04-29T00:00:00+00:00
xdai,2021-03-02T00:00:00+00:00
zilswap,2021-04-01T00:00:00+00:00
digital-money-bits,2018-02-11T00:00:00+00:00
switch,2019-07-06T00:00:00+00:00
ume-token,2021-03-11T00:00:00+00:00
oasis-2,2018-10-04T00:00:00+00:00
peculium,2018-03-21T00:00:00+00:00
tycoon-global,2019-02-02T00:00:00+00:00
binance-peg-polkadot,2021-05-13T00:00:00+00:00
nayuta-coin,2021-01-19T00:00:00+00:00
xtake,2020-08-22T00:00:00+00:00
dprating,2018-08-11T00:00:00+00:00
lovechain,2020-11-03T00:00:00+00:00
apeswap-finance,2021-04-19T00:00:00+00:00
animal-adoption-advocacy,2021-05-12T00:00:00+00:00
roonex,2020-05-07T00:00:00+00:00
chex-token,2020-01-09T00:00:00+00:00
p2p-solutions-foundation,2020-02-25T00:00:00+00:00
yearn-finance-infrastructure-labs,2020-10-08T00:00:00+00:00
yearn-finance-diamond-token,2020-10-16T00:00:00+00:00
3x-short-bitmax-token-token,2019-12-20T00:00:00+00:00
jindoge,2021-05-11T00:00:00+00:00
sopay,2018-11-10T00:00:00+00:00
allium-finance,2021-05-16T00:00:00+00:00
ubu-finance,2021-03-11T00:00:00+00:00
ichi-farm,2020-11-18T00:00:00+00:00
ri-token,2020-09-19T00:00:00+00:00
yield,2020-12-10T00:00:00+00:00
digital-antares-dollar,2021-02-04T00:00:00+00:00
unikoin-gold,2017-11-08T00:00:00+00:00
cashaa,2018-02-17T00:00:00+00:00
nitrous-finance,2021-02-17T00:00:00+00:00
moneybyte,2019-09-25T00:00:00+00:00
contribute,2020-09-23T00:00:00+00:00
subgame,2021-05-12T00:00:00+00:00
3x-long-bnb-token,2019-12-18T00:00:00+00:00
tinville,2021-05-15T00:00:00+00:00
vestchain,2018-11-10T00:00:00+00:00
chinese-shopping-platform,2019-10-08T00:00:00+00:00
synlev,2020-10-17T00:00:00+00:00
habitat,2021-03-19T00:00:00+00:00
gokumarket-credit,2020-10-03T00:00:00+00:00
schain-wallet,2020-08-15T00:00:00+00:00
thorecash,2018-06-28T00:00:00+00:00
zioncoin,2019-08-23T00:00:00+00:00
cryptonewsnet,2020-04-30T00:00:00+00:00
jboxcoin,2018-06-13T00:00:00+00:00
3x-long-bitmax-token-token,2019-12-31T00:00:00+00:00
8x8-protocol,2019-09-06T00:00:00+00:00
read-this-contract,2020-10-15T00:00:00+00:00
vidyx,2021-01-05T00:00:00+00:00
silver-coin,2020-02-29T00:00:00+00:00
tedesis,2021-01-21T00:00:00+00:00
kerman,2020-05-29T00:00:00+00:00
truehkd,2020-10-09T00:00:00+00:00
idle-wbtc-yield,2020-08-01T00:00:00+00:00
derivadao,2020-12-23T00:00:00+00:00
rover-inu,2021-05-12T00:00:00+00:00
relianz,2019-12-14T00:00:00+00:00
own-token,2020-04-09T00:00:00+00:00
yfi-business,2020-09-04T00:00:00+00:00
crypto-village-accelerator,2019-12-06T00:00:00+00:00
color,2019-09-11T00:00:00+00:00
yearn-finance-bit,2020-09-30T00:00:00+00:00
super8,2019-11-02T00:00:00+00:00
yftether,2021-01-17T00:00:00+00:00
hubdao,2020-10-29T00:00:00+00:00
wom-token,2019-11-07T00:00:00+00:00
3x-long-tether-token,2019-12-18T00:00:00+00:00
hyper-pay,2018-04-11T00:00:00+00:00
cream-eth2,2021-01-05T00:00:00+00:00
most-protocol,2020-08-18T00:00:00+00:00
vaiot,2021-02-16T00:00:00+00:00
imagecoin,2018-08-31T00:00:00+00:00
bitcoin-atom,2018-01-23T00:00:00+00:00
san-diego-coin,2020-09-05T00:00:00+00:00
3x-short-algorand-token,2019-12-18T00:00:00+00:00
oasis-network,2020-11-19T00:00:00+00:00
small-doge,2021-05-11T00:00:00+00:00
darkpaycoin,2018-11-06T00:00:00+00:00
loom-network,2018-03-20T00:00:00+00:00
atheios,2018-09-28T00:00:00+00:00
weblock,2020-11-26T00:00:00+00:00
oiler,2021-05-06T00:00:00+00:00
indinode,2018-08-25T00:00:00+00:00
truefi,2020-11-22T00:00:00+00:00
seer,2018-07-04T00:00:00+00:00
sagacoin,2018-03-02T00:00:00+00:00
zelaapayae,2020-06-02T00:00:00+00:00
aave-mkr,2021-03-12T00:00:00+00:00
onx-finance,2020-12-22T00:00:00+00:00
spice-finance,2020-12-16T00:00:00+00:00
hunt-token,2019-04-16T00:00:00+00:00
payyoda,2021-01-12T00:00:00+00:00
wiz-coin,2021-03-11T00:00:00+00:00
coindom,2019-01-16T00:00:00+00:00
xrp-bep2,2019-10-12T00:00:00+00:00
attn,2020-08-29T00:00:00+00:00
latino-token,2018-08-14T00:00:00+00:00
waves-enterprise,2020-01-23T00:00:00+00:00
balloon-coin,2020-05-09T00:00:00+00:00
polycat-finance,2021-05-04T00:00:00+00:00
exenox-mobile,2020-07-19T00:00:00+00:00
buysell,2018-10-15T00:00:00+00:00
smooth-love-potion,2020-01-11T00:00:00+00:00
klayswap-protocol,2021-01-20T00:00:00+00:00
game-x-coin,2019-05-22T00:00:00+00:00
polyshiba,2021-05-18T00:00:00+00:00
osmiumcoin,2018-03-01T00:00:00+00:00
ethereum-message-search,2019-10-25T00:00:00+00:00
honest-mining,2019-03-28T00:00:00+00:00
trustworks,2021-04-05T00:00:00+00:00
1x-short-compound-usdt-token,2020-11-04T00:00:00+00:00
carbon-utility-token,2021-03-23T00:00:00+00:00
carvertical,2018-02-02T00:00:00+00:00
safememe,2021-05-16T00:00:00+00:00
bitplayer-token,2020-05-06T00:00:00+00:00
xvix,2020-12-14T00:00:00+00:00
truefeedbackchain,2019-07-13T00:00:00+00:00
gold,2018-12-07T00:00:00+00:00
moozicore,2018-08-04T00:00:00+00:00
pantherswap,2021-04-30T00:00:00+00:00
passive-income,2021-01-18T00:00:00+00:00
arianee,2021-01-08T00:00:00+00:00
archer-dao-governance-token,2020-11-23T00:00:00+00:00
hustle-token,2020-02-16T00:00:00+00:00
blood,2019-12-06T00:00:00+00:00
moeda-loyalty-points,2017-11-10T00:00:00+00:00
cryptocart,2021-05-04T00:00:00+00:00
3x-short-vechain-token,2020-08-06T00:00:00+00:00
matic-network,2019-04-27T00:00:00+00:00
2acoin,2018-12-26T00:00:00+00:00
klondike-bond,1970-01-01T00:00:00+00:00
waletoken,2018-10-25T00:00:00+00:00
jarvis-reward-token,2020-01-15T00:00:00+00:00
tutors-diary,2019-02-27T00:00:00+00:00
bitwhite,2018-02-02T00:00:00+00:00
ecoscu,2020-04-16T00:00:00+00:00
leverj-gluon,2020-10-27T00:00:00+00:00
reth,2021-03-19T00:00:00+00:00
grom,2020-11-25T00:00:00+00:00
monerov,2018-07-04T00:00:00+00:00
the-champcoin,2017-12-28T00:00:00+00:00
xincha,2021-01-31T00:00:00+00:00
dock,2018-04-27T00:00:00+00:00
finchain,2018-12-08T00:00:00+00:00
mytoken,2018-05-15T00:00:00+00:00
taxi,2020-12-21T00:00:00+00:00
tcbcoin,2020-09-23T00:00:00+00:00
wise-token11,2021-01-04T00:00:00+00:00
sinergia,2020-04-14T00:00:00+00:00
ovcode,2019-02-02T00:00:00+00:00
marshal-lion-group-coin,2019-11-06T00:00:00+00:00
quickx-protocol,2019-02-10T00:00:00+00:00
wing-shop,2020-09-02T00:00:00+00:00
juventus-fan-token,2020-04-17T00:00:00+00:00
jigstack,2021-04-23T00:00:00+00:00
internet-of-people,2017-07-09T00:00:00+00:00
xenon-pay,2021-05-12T00:00:00+00:00
alphadex,2020-10-27T00:00:00+00:00
silverway,2019-06-28T00:00:00+00:00
trees-finance,2021-03-10T00:00:00+00:00
yfox-finance,2020-10-05T00:00:00+00:00
winding-tree,2018-03-15T00:00:00+00:00
nextdao,2019-11-13T00:00:00+00:00
apexel-natural-nano,2019-12-19T00:00:00+00:00
hawkdex,2021-05-02T00:00:00+00:00
ubu,2020-02-18T00:00:00+00:00
bcv,2018-08-07T00:00:00+00:00
aisf,2020-10-19T00:00:00+00:00
electric-cash,2021-02-18T00:00:00+00:00
lp-3pool-curve,2020-10-29T00:00:00+00:00
swarm-city,2017-03-03T00:00:00+00:00
noob-finance,2020-11-10T00:00:00+00:00
certik,2020-10-27T00:00:00+00:00
degate,2021-03-17T00:00:00+00:00
zealium,2018-05-07T00:00:00+00:00
smartcoin,2014-02-06T00:00:00+00:00
bullswap-protocol,2020-11-23T00:00:00+00:00
fnaticx,2021-01-01T00:00:00+00:00
feta-token,2021-05-05T00:00:00+00:00
1337,2017-06-14T00:00:00+00:00
markyt,2019-11-10T00:00:00+00:00
zcnox-coin,2020-03-25T00:00:00+00:00
ycash,2019-07-20T00:00:00+00:00
privacy,2020-11-11T00:00:00+00:00
unido-ep,2021-03-03T00:00:00+00:00
dubaicoin-dbix,2017-04-06T00:00:00+00:00
soteria,2021-02-02T00:00:00+00:00
global-china-cash,2019-07-30T00:00:00+00:00
daofi,2020-10-13T00:00:00+00:00
algopainter,2021-05-06T00:00:00+00:00
benchmark-protocol,2020-11-25T00:00:00+00:00
cryptorg-token,2020-05-26T00:00:00+00:00
bribe-token,2021-04-23T00:00:00+00:00
playgroundz,2018-10-27T00:00:00+00:00
harcomia,2019-07-31T00:00:00+00:00
ebitcoin,2017-12-21T00:00:00+00:00
wabi,2017-12-19T00:00:00+00:00
dextoken-governance,2020-08-24T00:00:00+00:00
kok-coin,2020-01-29T00:00:00+00:00
buxcoin,2020-01-16T00:00:00+00:00
crust-network,2020-09-21T00:00:00+00:00
oryxcoin,2018-08-21T00:00:00+00:00
levelapp,2019-06-07T00:00:00+00:00
sov,2019-09-20T00:00:00+00:00
cryptokek,2020-12-30T00:00:00+00:00
cryptowater,2020-09-29T00:00:00+00:00
medusa,2021-03-11T00:00:00+00:00
buypay,2021-03-02T00:00:00+00:00
poolcoin,2020-02-13T00:00:00+00:00
polkainsure-finance,2021-01-03T00:00:00+00:00
btcmoon,2017-11-23T00:00:00+00:00
enigma,2017-11-08T00:00:00+00:00
giga-watt-token,2017-12-09T00:00:00+00:00
bitblocks-project,2018-04-03T00:00:00+00:00
cybervein,2018-04-20T00:00:00+00:00
spore-engineering,2021-02-21T00:00:00+00:00
fortune1coin,2020-03-08T00:00:00+00:00
high-performance-blockchain,2018-01-24T00:00:00+00:00
swag-finance,2020-10-14T00:00:00+00:00
icicb-coin,2021-04-30T00:00:00+00:00
nuco-cloud,2020-09-17T00:00:00+00:00
reserve,2020-04-09T00:00:00+00:00
vslice,2016-12-19T00:00:00+00:00
king-of-defi,2020-11-30T00:00:00+00:00
dextf,2020-09-29T00:00:00+00:00
beholder,2020-10-14T00:00:00+00:00
garudaswap,2021-05-17T00:00:00+00:00
herum,2021-05-16T00:00:00+00:00
mirrored-bitcoin,2021-02-23T00:00:00+00:00
cryptoenergy,2019-12-11T00:00:00+00:00
ioox-system,2020-07-02T00:00:00+00:00
toad-network,2021-05-21T20:23:18+00:00
acreage-coin,2018-08-21T00:00:00+00:00
pundi-x,2018-03-24T00:00:00+00:00
venox,2018-10-02T00:00:00+00:00
piedao-defi,2020-12-07T00:00:00+00:00
astro-dragon,2021-05-11T00:00:00+00:00
zbank-token,2020-07-13T00:00:00+00:00
bmj-coin,2019-11-14T00:00:00+00:00
piedao-defi-small-cap,2020-10-05T00:00:00+00:00
0-5x-long-theta-network-token,2020-08-23T00:00:00+00:00
rune,2021-05-18T00:00:00+00:00
mercurity-finance,2021-03-25T00:00:00+00:00
ucx-foundation,2020-08-15T00:00:00+00:00
dogelon-mars,2021-04-23T00:00:00+00:00
asgard-finance,2021-02-28T00:00:00+00:00
maggie,2018-01-28T00:00:00+00:00
superskynet,2019-07-16T00:00:00+00:00
wrapped-zcash,2020-11-29T00:00:00+00:00
realtoken-9336-patton-st-detroit-mi,2020-07-30T00:00:00+00:00
unigraph,2020-08-21T00:00:00+00:00
wrapped-statera,2021-01-07T00:00:00+00:00
unicly-doki-doki-collection,2021-04-20T00:00:00+00:00
cardano,2017-10-18T00:00:00+00:00
curve-dao-token,2020-08-14T00:00:00+00:00
yolo-cash,2018-05-29T00:00:00+00:00
eth-moonshot-x-yield-set,2020-04-21T00:00:00+00:00
polaris,2021-04-01T00:00:00+00:00
wazirx,2020-02-06T00:00:00+00:00
apeusd-snx-synthetic-usd-dec-2021,1970-01-01T00:00:00+00:00
funkeypay,2019-08-26T00:00:00+00:00
fluttercoin,2014-03-20T00:00:00+00:00
nectar-token,2018-04-01T00:00:00+00:00
hydradx,2021-02-09T00:00:00+00:00
pha,2020-09-12T00:00:00+00:00
woyager,2019-01-12T00:00:00+00:00
tera-smart-money,2019-02-28T00:00:00+00:00
bloc-money,2018-10-03T00:00:00+00:00
yieldwars-com,2020-09-29T00:00:00+00:00
scex,2020-07-15T00:00:00+00:00
orbit-chain,2019-10-23T00:00:00+00:00
rainicorn,2021-03-23T00:00:00+00:00
yearn-finance-management,2020-10-16T00:00:00+00:00
degen-protocol,2021-03-03T00:00:00+00:00
api3,2020-11-30T00:00:00+00:00
xend-finance,2021-03-24T00:00:00+00:00
safebtc,2021-04-03T00:00:00+00:00
yearn-finance,2020-07-18T00:00:00+00:00
coral-farm,2021-03-04T00:00:00+00:00
inoovi,2020-01-11T00:00:00+00:00
tranium,2019-03-26T00:00:00+00:00
mp3,2021-02-07T00:00:00+00:00
quality-tracing-chain,2019-11-27T00:00:00+00:00
cat-trade-protocol,2020-08-24T00:00:00+00:00
unifi,2020-08-27T00:00:00+00:00
fomo-labs,2021-04-23T00:00:00+00:00
bitfxt-coin,2019-10-08T00:00:00+00:00
binance-peg-litecoin,2021-05-13T00:00:00+00:00
bitcoin-2,2018-09-08T00:00:00+00:00
basis-gold-share-heco,2021-01-18T00:00:00+00:00
modefi,2021-02-17T00:00:00+00:00
tapmydata,2021-02-16T00:00:00+00:00
starblock,2019-06-12T00:00:00+00:00
cryptonovae,2021-04-09T00:00:00+00:00
turbostake,2018-08-28T00:00:00+00:00
solve-care,2018-01-08T00:00:00+00:00
chord-protocol,2021-04-12T00:00:00+00:00
jubi-token,2020-04-17T00:00:00+00:00
insure,2020-01-09T00:00:00+00:00
unidexbot-bsc,2021-03-10T00:00:00+00:00
gold-and-gold,2020-08-26T00:00:00+00:00
derogold,2019-04-11T00:00:00+00:00
happy-birthday-coin,2020-10-20T00:00:00+00:00
binanceidr,2020-08-13T00:00:00+00:00
contentos,2019-05-15T00:00:00+00:00
feeder-finance,2021-05-02T00:00:00+00:00
carillonium,2021-04-20T00:00:00+00:00
yas,2020-08-05T00:00:00+00:00
metal,2017-07-15T00:00:00+00:00
near,2020-10-14T00:00:00+00:00
global-hash-power,2019-12-21T00:00:00+00:00
stronghold,2021-01-02T00:00:00+00:00
unfederalreserve,2020-10-29T00:00:00+00:00
defini,2021-04-01T00:00:00+00:00
3x-long-kyber-network-token,2020-08-06T00:00:00+00:00
aeron,2017-11-10T00:00:00+00:00
orb-v2,2020-10-02T00:00:00+00:00
sorachancoin,2019-10-01T00:00:00+00:00
hathor,2020-10-06T00:00:00+00:00
version,2018-03-02T00:00:00+00:00
advertisingcoin,2019-06-11T00:00:00+00:00
cryptaur,2018-06-07T00:00:00+00:00
franklin,2021-04-16T00:00:00+00:00
connect,2018-08-21T00:00:00+00:00
0-5x-long-midcap-index-token,2020-08-13T00:00:00+00:00
momentum,2020-09-13T00:00:00+00:00
baasid,2018-08-16T00:00:00+00:00
aidos-kuneen,2018-09-20T00:00:00+00:00
odyssey,2018-01-25T00:00:00+00:00
culture-ticket-chain,2018-10-23T00:00:00+00:00
metaverse-dualchain-network-architecture,2020-02-10T00:00:00+00:00
lendingblock,2018-04-28T00:00:00+00:00
crystal-clear,2017-10-28T00:00:00+00:00
aidus,2019-02-13T00:00:00+00:00
x-block,2019-05-07T00:00:00+00:00
vidya,2020-08-24T00:00:00+00:00
banca,2018-03-21T00:00:00+00:00
poc-blockchain,2021-01-25T00:00:00+00:00
genesis-network,2018-09-13T00:00:00+00:00
cps-coin,2020-02-05T00:00:00+00:00
boboo-token,2020-11-16T00:00:00+00:00
hymnode,2019-11-05T00:00:00+00:00
oneroot-network,2018-01-24T00:00:00+00:00
apiary-fund-coin,2020-10-21T00:00:00+00:00
quickchart,2021-05-11T00:00:00+00:00
internet-node-token,2018-01-22T00:00:00+00:00
evan,2020-08-07T00:00:00+00:00
auction,2021-02-06T00:00:00+00:00
atheneum,2019-01-12T00:00:00+00:00
alaska-inu,2021-05-15T00:00:00+00:00
ignis,2017-12-20T00:00:00+00:00
ibank,2018-03-24T00:00:00+00:00
raven-dark,2019-04-26T00:00:00+00:00
bunnytoken,2018-06-21T00:00:00+00:00
impermax,2021-04-30T00:00:00+00:00
mina-protocol-iou,2021-04-15T00:00:00+00:00
proton,2020-04-07T00:00:00+00:00
cryptaldash,2018-09-08T00:00:00+00:00
infinity-protocol-bsc,2021-05-04T00:00:00+00:00
manyswap,2021-04-05T00:00:00+00:00
inmax,2019-01-08T00:00:00+00:00
rootkit,2020-11-18T00:00:00+00:00
holyheld,2020-10-09T00:00:00+00:00
eureka-coin,2019-07-19T00:00:00+00:00
pay-coin,2019-08-21T00:00:00+00:00
openanx,2017-10-29T00:00:00+00:00
dexmex,2021-02-15T00:00:00+00:00
silkchain,2018-10-16T00:00:00+00:00
binance-peg-cardano,2021-05-13T00:00:00+00:00
digimoney,2018-04-11T00:00:00+00:00
medical-token-currency,2018-05-16T00:00:00+00:00
mktcoin,2018-02-12T00:00:00+00:00
mango-market-caps,1970-01-01T00:00:00+00:00
bond-appetite-usd,2021-04-19T00:00:00+00:00
bancor,2017-06-27T00:00:00+00:00
420x,2021-05-17T00:00:00+00:00
hyper-speed-network,2019-07-05T00:00:00+00:00
ecobit,2017-07-05T00:00:00+00:00
saud,2021-01-14T00:00:00+00:00
disbalancer,2021-04-16T00:00:00+00:00
spendcoin,2018-09-20T00:00:00+00:00
tokengo,2018-11-29T00:00:00+00:00
